id,crop_type,yield_amount,date,area,rainfall,temperature,temperature_invalid,rainfall_invalid,yield_invalid
1,corn,53.18861045948322,2020-01-01,127.34228819615214,98.74250960694674,36.3179505548785,-36.3179505548785,98.74250960694674,53188.61045948322
3575,maize,51.417913513827024,2020-01-01,75.55169657296854,,34.82390247668481,-34.82390247668481,54.31308121845426,51417.91351382702
1788,,33.079061677884596,2020-01-01,146.0858931847273,63.25105317067121,,32.04385040731291,63.25105317067121,33.079061677884596
2,Soybean,,2020-01-02,83.5283080323116,,24.647900637646735,24.647900637646735,81.9477751716933,65.57692751135433
3576,Rice,,2020-01-02,134.3656140583671,48.98804227455458,14.27589610555034,14.27589610555034,48.98804227455458,77.26347032911276
1789,Wheat,54.820555252267866,2020-01-02,29.989879019539053,69.18656430910552,25.423473349290752,25.423473349290752,69.18656430910552,54.820555252267866
3,potato,66.93272248158709,2020-01-03,,45.259231854340406,20.795901677115452,20.795901677115452,45.259231854340406,66.93272248158709
3577,Barley,90.34779445102758,2020-01-03,117.33769533668755,89.16740210638275,25.94072861271143,25.94072861271143,89.16740210638275,90.34779445102758
1790,soybean,31.24043288727847,2020-01-03,24.15752634543216,62.92350753376467,26.665012528173264,26.665012528173264,62.92350753376467,31.24043288727847
3578,maize,,2020-01-04,123.67191518225273,,22.510453399802806,22.510453399802806,78.82363315283833,51.97353347852626
1791,,44.29679316365459,2020-01-04,25.709615494618205,,22.388201140043428,22.388201140043428,11.507441048207603,44.29679316365459
4,Corn,42.05698435135889,2020-01-04,83.45637769308684,14.505038942932366,23.21732567903546,23.21732567903546,14.505038942932366,42.05698435135889
1792,SOYBEAN,35.760414869534635,2020-01-05,90.23790925815905,,22.262806243319883,22.262806243319883,84.99462760172558,35.760414869534635
5,corn,38.44476559989373,2020-01-05,87.71156420127116,66.19949350146143,,47.004940204034675,66.19949350146143,38.44476559989373
3579,barley,67.43824339403604,2020-01-05,123.8567221890916,102.51298655967571,33.312728707963146,33.312728707963146,102.51298655967571,67.43824339403604
1793,soybean,59.10489578172836,2020-01-06,119.33641610052733,89.02117720070241,25.166094758691443,25.166094758691443,89.02117720070241,59.10489578172836
6,BARLEY,52.031793931919175,2020-01-06,113.94405898989793,,,40.855043562840414,73.64018167134026,52.031793931919175
3580,barley,54.34106755630253,2020-01-06,99.98040166437812,92.2113156456211,16.117221544793782,16.117221544793782,92.2113156456211,54.34106755630253
1794,Soybean,,2020-01-07,61.333404902448635,115.5629782769867,26.364388351589195,26.364388351589195,115.5629782769867,78.05246846347167
3581,Potato,58.51426489599754,2020-01-07,74.12204740423242,41.00576231913549,29.47163816141423,29.47163816141423,41.00576231913549,58.51426489599754
7,potato,,2020-01-07,40.783618559028874,53.417434741528545,27.034144748928256,27.034144748928256,53.417434741528545,63.95555884194351
3582,,46.06985068208495,2020-01-08,131.05488536199107,55.4190959742375,20.972554953023472,20.972554953023472,55.4190959742375,46.06985068208495
8,,,2020-01-08,61.56345349214244,,,21.33685203603025,79.17816365019662,53.287986428794795
1795,,31.678260706943558,2020-01-08,146.9054382900577,55.89330860512268,,16.750550356375047,55.89330860512268,31.678260706943558
3583,WHEAT,54.29894160247168,2020-01-09,,109.81961256746186,28.15709191974445,-28.15709191974445,109.81961256746186,54298.94160247168
9,rice,27.71784048826769,2020-01-09,60.963845690039285,88.34606254138869,27.309116005782755,27.309116005782755,88.34606254138869,27.71784048826769
1796,Corn,,2020-01-09,,,25.844611833564418,25.844611833564418,53.932314916068776,23.57751047766911
3584,CORN,59.60526877573924,2020-01-10,13.332846056168021,,27.094536625110592,27.094536625110592,70.68908798890128,59.60526877573924
10,Corn,39.50072154738018,2020-01-10,144.3215434037631,,28.493703619576927,28.493703619576927,92.53872337147722,39.50072154738018
1797,SOYBEAN,49.669784926391806,2020-01-10,31.06279710825028,,39.09135971631743,39.09135971631743,8.771931954209679,49.669784926391806
3585,Wheat,43.036035508669805,2020-01-11,17.217682257275182,105.54626117135771,24.698698848673832,24.698698848673832,105.54626117135771,43.036035508669805
11,WHEAT,50.6033384878991,2020-01-11,72.15229444574065,16.95849259759933,16.766061540939944,16.766061540939944,16.95849259759933,50.6033384878991
1798,,51.94839838118115,2020-01-11,75.23534474605914,68.51729480613524,23.359861093103536,23.359861093103536,68.51729480613524,51.94839838118115
3586,WHEAT,50.719852600037626,2020-01-12,144.22406156718122,72.19910985133329,30.704761868587518,30.704761868587518,72.19910985133329,50.719852600037626
1799,rice,55.16215669979191,2020-01-12,105.06520315914157,98.4689280757705,16.98422723543542,16.98422723543542,98.4689280757705,55.16215669979191
12,,50.74728303354499,2020-01-12,115.71315542174051,43.08400610401321,27.522597252154526,27.522597252154526,43.08400610401321,50.74728303354499
1800,,,2020-01-13,126.51160927061301,60.73132594452511,25.83971645479478,25.83971645479478,60.73132594452511,45.35623727017102
13,Potato,81.63917765053331,2020-01-13,115.11359339242146,68.40995629047471,37.630279597180035,-37.630279597180035,68.40995629047471,81639.17765053331
3587,SOYBEAN,51.174593213723874,2020-01-13,48.80248593818727,51.83411179213006,,27.400266873109878,51.83411179213006,51.174593213723874
